code,type,count,description,Group,Larger group
80174,Diagnosis,1,"Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
86349,Diagnosis,1,"Other injury to colon or rectum, without mention of open wound into cavity",Injury And Poisoning,"Injury, Poisoning & External Causes"
80066,Diagnosis,1,"Open fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration",Injury And Poisoning,"Injury, Poisoning & External Causes"
80462,Diagnosis,1,"Open fractures involving skull or face with other bones, with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
7500,Diagnosis,1,Tongue tie,Congenital Anomalies,Congenital Anomalies
37631,Diagnosis,1,Constant exophthalmos,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
20197,Diagnosis,1,"Hodgkin's disease, unspecified type, spleen",Neoplasms,Neoplasms
80072,Diagnosis,1,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
0631,Diagnosis,1,Louping ill,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
37211,Diagnosis,1,Simple chronic conjunctivitis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
80633,Diagnosis,1,Open fracture of T1-T6 level with central cord syndrome,Injury And Poisoning,"Injury, Poisoning & External Causes"
9755,Diagnosis,1,Poisoning by expectorants,Injury And Poisoning,"Injury, Poisoning & External Causes"
80382,Diagnosis,1,"Other open skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
52106,Diagnosis,1,Dental caries pit and fissure,Diseases Of The Digestive System,Diseases Of The Digestive System
80364,Diagnosis,1,"Other open skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
85189,Diagnosis,1,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with concussion, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
0860,Diagnosis,1,Chagas' disease with heart involvement,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
64793,Diagnosis,1,"Unspecified infection or infestation of mother, antepartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
1031,Diagnosis,1,Intermediate lesions of pinta,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
11511,Diagnosis,1,"Infection by Histoplasma duboisii, meningitis",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
94306,Diagnosis,1,Burn of unspecified degree of scapular region,Injury And Poisoning,"Injury, Poisoning & External Causes"
86812,Diagnosis,1,"Injury to other intra-abdominal organs with open wound into cavity, bile duct and gallbladder",Injury And Poisoning,"Injury, Poisoning & External Causes"
64511,Diagnosis,1,"Post term pregnancy, delivered, with or without mention of antepartum condition","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
1142,Diagnosis,1,Coccidioidal meningitis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
0469,Diagnosis,1,Unspecified slow virus infection of central nervous system,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
80353,Diagnosis,1,"Other open skull fracture without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
80449,Diagnosis,1,"Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with concussion, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
29910,Diagnosis,1,"Childhood disintegrative disorder, current or active state",Mental Disorders,Mental Disorders
80031,Diagnosis,1,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
0632,Diagnosis,1,Central european encephalitis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
80374,Diagnosis,1,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
0043,Diagnosis,1,Shigella sonnei,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
20192,Diagnosis,1,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes",Neoplasms,Neoplasms
37613,Diagnosis,1,Parasitic infestation of orbit,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
94872,Diagnosis,1,"Burn [any degree] involving 70-79 percent of body surface with third degree burn, 20-29%",Injury And Poisoning,"Injury, Poisoning & External Causes"
01893,Diagnosis,1,"Miliary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
80172,Diagnosis,1,"Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
64614,Diagnosis,1,"Edema or excessive weight gain in pregnancy, without mention of hypertension, postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
75532,Diagnosis,1,"Longitudinal deficiency of lower limb, not elsewhere classified",Congenital Anomalies,Congenital Anomalies
64702,Diagnosis,1,"Syphilis of mother, complicating pregnancy,childbirth, or the puerperium, delivered, with mention of postpartum complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
94158,Diagnosis,1,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of neck",Injury And Poisoning,"Injury, Poisoning & External Causes"
80194,Diagnosis,1,"Open fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
71166,Diagnosis,1,"Arthropathy associated with mycoses, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
80233,Diagnosis,1,"Open fracture of mandible, coronoid process",Injury And Poisoning,"Injury, Poisoning & External Causes"
85255,Diagnosis,1,"Extradural hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
86399,Diagnosis,1,"Injury to other gastrointestinal sites, with open wound into cavity",Injury And Poisoning,"Injury, Poisoning & External Causes"
85123,Diagnosis,1,"Cortex (cerebral) laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
37722,Diagnosis,1,Crater-like holes of optic disc,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
1252,Diagnosis,1,Loiasis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
85412,Diagnosis,1,"Intracranial injury of other and unspecified nature with open intracranial wound, with brief [less than one hour] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
9824,Diagnosis,1,Toxic effect of nitroglycol,Injury And Poisoning,"Injury, Poisoning & External Causes"
75444,Diagnosis,1,Congenital bowing of unspecified long bones of leg,Congenital Anomalies,Congenital Anomalies
64920,Diagnosis,1,"Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
64762,Diagnosis,1,"Other viral diseases in the mother, delivered, with mention of postpartum complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
67184,Diagnosis,1,"Other venous complications of pregnancy and the puerperium, postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
04611,Diagnosis,1,Variant Creutzfeldt-Jakob disease,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
37731,Diagnosis,1,Optic papillitis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
64912,Diagnosis,1,"Obesity complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
52452,Diagnosis,1,Limited mandibular range of motion,Diseases Of The Digestive System,Diseases Of The Digestive System
64221,Diagnosis,1,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
90254,Diagnosis,1,Injury to iliac vein,Injury And Poisoning,"Injury, Poisoning & External Causes"
80003,Diagnosis,1,"Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
75510,Diagnosis,1,Syndactyly of multiple and unspecified sites,Congenital Anomalies,Congenital Anomalies
85215,Diagnosis,1,"Subarachnoid hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
27701,Diagnosis,1,Cystic fibrosis with meconium ileus,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
9882,Diagnosis,1,Toxic effect of berries and other plants eaten as food,Injury And Poisoning,"Injury, Poisoning & External Causes"
01895,Diagnosis,1,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
64734,Diagnosis,1,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
64241,Diagnosis,1,"Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
36301,Diagnosis,1,"Focal choroiditis and chorioretinitis, juxtapapillary",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
0460,Diagnosis,1,Kuru,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
00801,Diagnosis,1,Intestinal infection due to enteropathogenic E. coli,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
04679,Diagnosis,1,Other and unspecified prion disease of central nervous system,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
E9501,Diagnosis,1,Suicide and self-inflicted poisoning by barbiturates,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
9742,Diagnosis,1,Poisoning by carbonic acid anhydrase inhibitors,Injury And Poisoning,"Injury, Poisoning & External Causes"
71124,Diagnosis,1,"Arthropathy in Behcet's syndrome, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7482,Diagnosis,1,Web of larynx,Congenital Anomalies,Congenital Anomalies
37603,Diagnosis,1,Orbital osteomyelitis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
04513,Diagnosis,1,"Acute poliomyelitis with other paralysis, poliovirus type III",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
80089,Diagnosis,1,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
94418,Diagnosis,1,Erythema [first degree] of multiple sites of wrist(s) and hand(s),Injury And Poisoning,"Injury, Poisoning & External Causes"
80063,Diagnosis,1,"Open fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
36342,Diagnosis,1,Diffuse secondary atrophy of choroid,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
67593,Diagnosis,1,"Unspecified infection of the breast and nipple associated with childbirth, antepartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80186,Diagnosis,1,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration",Injury And Poisoning,"Injury, Poisoning & External Causes"
E9579,Diagnosis,1,Suicide and self-inflicted injuries by jumping from unspecified site,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
13103,Diagnosis,1,Trichomonal prostatitis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
9662,Diagnosis,1,Poisoning by succinimides,Injury And Poisoning,"Injury, Poisoning & External Causes"
65693,Diagnosis,1,"Unspecified fetal and placental problem, affecting management of mother, antepartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
37443,Diagnosis,1,Abnormal innervation syndrome of eyelid,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
65930,Diagnosis,1,"Generalized infection during labor, unspecified as to episode of care or not applicable","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
74741,Diagnosis,1,Total anomalous pulmonary venous connection,Congenital Anomalies,Congenital Anomalies
94412,Diagnosis,1,Erythema [first degree] of thumb (nail),Injury And Poisoning,"Injury, Poisoning & External Causes"
20121,Diagnosis,1,"Hodgkin's sarcoma, lymph nodes of head, face, and neck",Neoplasms,Neoplasms
66951,Diagnosis,1,"Forceps or vacuum extractor delivery without mention of indication, delivered, with or without mention of antepartum condition","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80123,Diagnosis,1,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
9767,Diagnosis,1,Poisoning by dental drugs topically applied,Injury And Poisoning,"Injury, Poisoning & External Causes"
9782,Diagnosis,1,Poisoning by cholera vaccine,Injury And Poisoning,"Injury, Poisoning & External Causes"
9875,Diagnosis,1,Toxic effect of lacrimogenic gas,Injury And Poisoning,"Injury, Poisoning & External Causes"
80010,Diagnosis,1,"Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
9828,Diagnosis,1,Toxic effect of other nonpetroleum-based solvents,Injury And Poisoning,"Injury, Poisoning & External Causes"
80373,Diagnosis,1,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
74335,Diagnosis,1,Congenital aphakia,Congenital Anomalies,Congenital Anomalies
80339,Diagnosis,1,"Other closed skull fracture with other and unspecified intracranial hemorrhage, with concussion, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
20252,Diagnosis,1,"Letterer-siwe disease, intrathoracic lymph nodes",Neoplasms,Neoplasms
36051,Diagnosis,1,"Foreign body, magnetic, in anterior chamber of eye",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
52323,Diagnosis,1,"Gingival recession, severe",Diseases Of The Digestive System,Diseases Of The Digestive System
E9506,Diagnosis,1,Suicide and self-inflicted poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
64730,Diagnosis,1,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
75533,Diagnosis,1,"Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)",Congenital Anomalies,Congenital Anomalies
94861,Diagnosis,1,"Burn [any degree] involving 60-69 percent of body surface with third degree burn, 10-19%",Injury And Poisoning,"Injury, Poisoning & External Causes"
77014,Diagnosis,1,Aspiration of clear amniotic fluid with respiratory symptoms,Certain Conditions Originating In The Perinatal Period,"Pregnancy, Childbirth & Perinatal"
V2504,Diagnosis,1,Counseling and instruction in natural family planning to avoid pregnancy,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
90453,Diagnosis,1,Injury to posterior tibial artery,Injury And Poisoning,"Injury, Poisoning & External Causes"
80229,Diagnosis,1,"Closed fracture of mandible, multiple sites",Injury And Poisoning,"Injury, Poisoning & External Causes"
36831,Diagnosis,1,Suppression of binocular vision,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V4552,Diagnosis,1,Presence of subdermal contraceptive implant,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
80376,Diagnosis,1,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",Injury And Poisoning,"Injury, Poisoning & External Causes"
64652,Diagnosis,1,"Asymptomatic bacteriuria in pregnancy, delivered, with mention of postpartum complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
01172,Diagnosis,1,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
75562,Diagnosis,1,"Coxa vara, congenital",Congenital Anomalies,Congenital Anomalies
1220,Diagnosis,1,Echinococcus granulosus infection of liver,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
01701,Diagnosis,1,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
9783,Diagnosis,1,Poisoning by plague vaccine,Injury And Poisoning,"Injury, Poisoning & External Causes"
75565,Diagnosis,1,Macrodactylia of toes,Congenital Anomalies,Congenital Anomalies
66564,Diagnosis,1,"Damage to pelvic joints and ligaments, postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
09835,Diagnosis,1,"Gonococcal cervicitis, chronic",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
90255,Diagnosis,1,Injury to uterine artery,Injury And Poisoning,"Injury, Poisoning & External Causes"
80411,Diagnosis,1,"Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with no loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
9734,Diagnosis,1,Poisoning by digestants,Injury And Poisoning,"Injury, Poisoning & External Causes"
80608,Diagnosis,1,Closed fracture of C5-C7 level with central cord syndrome,Injury And Poisoning,"Injury, Poisoning & External Causes"
64820,Diagnosis,1,"Anemia of mother, unspecified as to episode of care or not applicable","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80424,Diagnosis,1,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
80084,Diagnosis,1,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
80232,Diagnosis,1,"Open fracture of mandible, subcondylar",Injury And Poisoning,"Injury, Poisoning & External Causes"
53331,Diagnosis,1,"Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, with obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
94353,Diagnosis,1,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of upper arm",Injury And Poisoning,"Injury, Poisoning & External Causes"
74422,Diagnosis,1,Macrotia,Congenital Anomalies,Congenital Anomalies
37569,Diagnosis,1,Other changes of lacrimal passages,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
36322,Diagnosis,1,Harada's disease,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
53310,Diagnosis,1,"Acute peptic ulcer of unspecified site with perforation, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
504,Diagnosis,1,Pneumonopathy due to inhalation of other dust,Diseases Of The Respiratory System,Diseases Of The Respiratory System
85171,Diagnosis,1,"Cerebellar or brain stem laceration with open intracranial wound, with no loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
6390,Diagnosis,1,Genital tract and pelvic infection following abortion or ectopic and molar pregnancies,"Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
36050,Diagnosis,1,"Foreign body, magnetic, intraocular, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
0832,Diagnosis,1,Rickettsialpox,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
67900,Diagnosis,1,"Maternal complications from in utero procedure, unspecified as to episode of care or not applicable","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
1259,Diagnosis,1,Unspecified filariasis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
85219,Diagnosis,1,"Subarachnoid hemorrhage following injury with open intracranial wound, with concussion, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
0930,Diagnosis,1,"Aneurysm of aorta, specified as syphilitic",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
1212,Diagnosis,1,Paragonimiasis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
E9551,Diagnosis,1,Suicide and self-inflicted injury by shotgun,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E8491,Diagnosis,1,Farm accidents,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
65443,Diagnosis,1,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
E8503,Diagnosis,1,Accidental poisoning by salicylates,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
64644,Diagnosis,1,"Peripheral neuritis in pregnancy, postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80375,Diagnosis,1,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
75511,Diagnosis,1,Syndactyly of fingers without fusion of bone,Congenital Anomalies,Congenital Anomalies
80361,Diagnosis,1,"Other open skull fracture with cerebral laceration and contusion, with no loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
36354,Diagnosis,1,"Central choroidal atrophy, total",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
0992,Diagnosis,1,Granuloma inguinale,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
85101,Diagnosis,1,"Cortex (cerebral) contusion without mention of open intracranial wound, with no loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
V1048,Diagnosis,1,Personal history of malignant neoplasm of epididymis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
0269,Diagnosis,1,Unspecified rat-bite fever,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
2311,Diagnosis,1,Carcinoma in situ of trachea,Neoplasms,Neoplasms
36030,Diagnosis,1,"Hypotony of eye, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
E8634,Diagnosis,1,Accidental poisoning by other and unspecified insecticides,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E9386,Diagnosis,1,Peripheral nerve- and plexus-blocking anesthetics causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E8659,Diagnosis,1,Accidental poisoning from unspecified foodstuff or poisonous plant,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
9289,Diagnosis,1,Crushing injury of unspecified site of lower limb,Injury And Poisoning,"Injury, Poisoning & External Causes"
E8680,Diagnosis,1,Accidental poisoning by liquefied petroleum gas distributed in mobile containers,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
1023,Diagnosis,1,Hyperkeratosis due to yaws,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
64724,Diagnosis,1,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
9460,Diagnosis,1,"Burns of multiple specified sites, unspecified degree",Injury And Poisoning,"Injury, Poisoning & External Causes"
9251,Diagnosis,1,Crushing injury of face and scalp,Injury And Poisoning,"Injury, Poisoning & External Causes"
9820,Diagnosis,1,Toxic effect of benzene and homologues,Injury And Poisoning,"Injury, Poisoning & External Causes"
80450,Diagnosis,1,"Open fractures involving skull or face with other bones, without mention of intracranial injury, unspecified state of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
1763,Diagnosis,1,"Kaposi's sarcoma, gastrointestinal sites",Neoplasms,Neoplasms
64654,Diagnosis,1,"Asymptomatic bacteriuria in pregnancy, postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
1848,Diagnosis,1,Malignant neoplasm of other specified sites of female genital organs,Neoplasms,Neoplasms
20127,Diagnosis,1,"Hodgkin's sarcoma, spleen",Neoplasms,Neoplasms
75558,Diagnosis,1,"Cleft hand, congenital",Congenital Anomalies,Congenital Anomalies
09885,Diagnosis,1,Other gonococcal heart disease,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
53131,Diagnosis,1,"Acute gastric ulcer without mention of hemorrhage or perforation, with obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
64252,Diagnosis,1,"Severe pre-eclampsia, delivered, with mention of postpartum complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
9495,Diagnosis,1,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
36053,Diagnosis,1,"Foreign body, magnetic, in lens",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
37516,Diagnosis,1,Dislocation of lacrimal gland,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
80030,Diagnosis,1,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
85402,Diagnosis,1,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
1322,Diagnosis,1,Phthirus pubis [pubic louse],Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
67114,Diagnosis,1,"Varicose veins of vulva and perineum complicating pregnancy and the puerperium, postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80639,Diagnosis,1,Open fracture of T7-T12 level with other specified spinal cord injury,Injury And Poisoning,"Injury, Poisoning & External Causes"
E9821,Diagnosis,1,"Poisoning by other carbon monoxide, undetermined whether accidentally or purposely inflicted",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
94433,Diagnosis,1,"Full-thickness skin loss [third degree, not otherwise specified]of two or more digits of hand, not including thumb",Injury And Poisoning,"Injury, Poisoning & External Causes"
01120,Diagnosis,1,"Tuberculosis of lung with cavitation, unspecified",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
65463,Diagnosis,1,"Other congenital or acquired abnormality of cervix, antepartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80179,Diagnosis,1,"Open fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",Injury And Poisoning,"Injury, Poisoning & External Causes"
0261,Diagnosis,1,Streptobacillary fever,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
37681,Diagnosis,1,Orbital cysts,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
65903,Diagnosis,1,"Failed mechanical induction of labor, antepartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
